backend,length,number,primitive
base,64,512,lut
base,64,0,dsp
baseopt,64,0,lut
baseopt,64,64,dsp
reticle,64,0,lut
reticle,64,16,dsp
base,128,1024,lut
base,128,0,dsp
baseopt,128,0,lut
baseopt,128,128,dsp
reticle,128,0,lut
reticle,128,32,dsp
base,256,2048,lut
base,256,0,dsp
baseopt,256,0,lut
baseopt,256,256,dsp
reticle,256,0,lut
reticle,256,64,dsp
base,512,4096,lut
base,512,0,dsp
baseopt,512,1216,lut
baseopt,512,360,dsp
reticle,512,0,lut
reticle,512,128,dsp
