backend,length,number,primitive
base,128,1024,lut
base,256,2048,lut
base,512,4096,lut
base,1024,8192,lut
base,128,0,dsp
base,256,0,dsp
base,512,0,dsp
base,1024,0,dsp
baseopt,128,0,lut
baseopt,256,0,lut
baseopt,512,1216,lut
baseopt,1024,5312,lut
baseopt,128,128,dsp
baseopt,256,256,dsp
baseopt,512,360,dsp
baseopt,1024,360,dsp
reticle,128,0,lut
reticle,256,0,lut
reticle,512,0,lut
reticle,1024,0,lut
reticle,128,32,dsp
reticle,256,64,dsp
reticle,512,128,dsp
reticle,1024,256,dsp
