backend,length,time
base,2,104.21979968994856
baseopt,2,104.3327816138044
reticle,2,0.23906750045716763
base,4,104.33776562660933
baseopt,4,104.36835126578808
reticle,4,0.3736841520294547
base,8,104.67946762219071
baseopt,8,104.23276577144861
reticle,8,2.11225997004658
base,16,104.84365764819086
baseopt,16,104.6051094867289
reticle,16,14.624429343268275
