backend,length,time
base,0,103.5
baseopt,0,94.76
reticle,0,0.39
base,1,122.57
baseopt,1,115.49
reticle,1,0.85
base,2,156.47
baseopt,2,149.73
reticle,2,5.47
base,3,222.37
baseopt,3,218.40
reticle,3,20.26
