backend,length,time
base,0,1.633
baseopt,0,1.032
reticle,0,1.032
base,1,1.748
baseopt,1,1.070
reticle,1,1.070
base,2,1.723
baseopt,2,1.070
reticle,2,1.070
base,3,1.777
baseopt,3,1.049
reticle,3,1.049
