backend,length,time
base,3,0.666
baseopt,3,0.666
reticle,3,0.627
base,5,1.110
baseopt,5,1.110
reticle,5,1.360
base,7,0.870
baseopt,7,0.870
reticle,7,1.422
base,9,1.060
baseopt,9,1.060
reticle,9,1.311
